month,day,time,host,action,rule,src,dst,proto,spt,dpt
Mar,2,16:19:32,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,58807
Mar,2,16:19:32,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,58343
Mar,2,16:19:32,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,60545
Mar,2,16:19:32,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,57371
Mar,2,16:19:32,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:32,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:32,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:33,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:33,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:34,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:34,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:36,f53d729bf18e,DENY,34,185.125.190.82,172.17.0.2,TCP,80,55830
Mar,2,16:19:36,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:38,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:38,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:40,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,57626
Mar,2,16:19:46,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,39849
Mar,2,16:19:46,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,43978
Mar,2,16:19:46,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,59492
Mar,2,16:19:46,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,59492
Mar,2,16:19:46,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,59492
Mar,2,16:19:47,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,59492
Mar,2,16:19:47,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,59492
Mar,2,16:19:59,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,45808
Mar,2,16:19:59,f53d729bf18e,PERMIT,6,192.168.65.7,172.17.0.2,UDP,53,56188
Mar,2,16:19:59,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:19:59,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:19:59,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:00,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:00,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:00,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:02,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:02,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:04,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47364
Mar,2,16:20:04,f53d729bf18e,DENY,34,91.189.92.22,172.17.0.2,TCP,80,47378
